time,city,country,temp_c,humidity,condition,wind_kph,wind_dir,pressure_mb,feelslike_c,uv
2024-12-10 00:00,Paris,France,5.5,80,Patchy rain nearby,16.6,NE,1025,2.1,0
2024-12-10 01:00,Paris,France,5.5,76,Patchy rain nearby,16.9,NE,1025,2.1,0
2024-12-10 02:00,Paris,France,5.4,75,Patchy rain nearby,17.3,NE,1025,1.9,0
2024-12-10 03:00,Paris,France,5.3,76,Overcast ,16.9,NE,1025,1.8,0
2024-12-10 04:00,Paris,France,5.2,79,Patchy rain nearby,16.2,NE,1025,1.8,0
2024-12-10 05:00,Paris,France,5.3,81,Overcast,15.5,NE,1025,1.9,0
2024-12-10 06:00,Paris,France,5.3,83,Patchy rain nearby,14.8,NE,1025,2.2,0
2024-12-10 07:00,Paris,France,5.5,84,Patchy rain nearby,15.1,NE,1025,2.4,0
2024-12-10 08:00,Paris,France,5.7,85,Patchy rain nearby,14.8,NE,1025,2.6,0
2024-12-10 09:00,Paris,France,5.9,84,Patchy rain nearby,15.8,NE,1025,2.7,0
2024-12-10 10:00,Paris,France,6,83,Patchy rain nearby,16.6,NE,1026,2.8,0.1
2024-12-10 11:00,Paris,France,6.2,83,Patchy rain nearby,17.6,NE,1026,2.8,0.2
2024-12-10 12:00,Paris,France,6.4,82,Patchy rain nearby,16.2,NE,1026,3.3,0.4
2024-12-10 13:00,Paris,France,6.2,85,Patchy rain nearby,15.8,NNE,1026,3.1,0.3
2024-12-10 14:00,Paris,France,6.3,83,Overcast ,16.9,NE,1026,3.1,0.4
2024-12-10 15:00,Paris,France,6.5,80,Overcast ,17.6,NE,1026,3.3,0.3
2024-12-10 16:00,Paris,France,6.5,77,Patchy rain nearby,18.4,NE,1026,3.2,0.1
2024-12-10 17:00,Paris,France,6.1,77,Patchy rain nearby,17.6,NE,1026,2.7,0
2024-12-10 18:00,Paris,France,5.9,76,Overcast ,16.6,NE,1027,2.6,0
2024-12-10 19:00,Paris,France,5.9,74,Overcast ,16.6,NE,1027,2.6,0
2024-12-10 20:00,Paris,France,5.8,74,Overcast ,16.2,NE,1027,2.5,0
2024-12-10 21:00,Paris,France,5.7,75,Overcast ,15.8,NE,1027,2.5,0
2024-12-10 22:00,Paris,France,5.7,74,Overcast ,15.5,NE,1027,2.6,0
2024-12-10 23:00,Paris,France,5.7,74,Overcast ,15.1,NE,1027,2.5,0
2024-12-11 00:00,Paris,France,5.6,74,Overcast ,14.8,NE,1027,2.5,0
2024-12-11 01:00,Paris,France,5.5,74,Overcast ,14,NE,1027,2.5,0
2024-12-11 02:00,Paris,France,5.4,74,Overcast ,14,NE,1027,2.4,0
2024-12-11 03:00,Paris,France,5.4,73,Overcast ,14,NE,1028,2.4,0
2024-12-11 04:00,Paris,France,5.3,74,Overcast ,14,NE,1027,2.3,0
2024-12-11 05:00,Paris,France,5.3,75,Overcast ,13.7,NE,1027,2.3,0
2024-12-11 06:00,Paris,France,5.2,76,Overcast ,13.7,NE,1027,2.2,0
2024-12-11 07:00,Paris,France,5.2,78,Overcast ,13.7,NE,1028,2.2,0
2024-12-11 08:00,Paris,France,5.1,81,Overcast ,13.3,NE,1028,2.2,0
2024-12-11 09:00,Paris,France,5.1,82,Overcast ,13,NE,1028,2.2,0
2024-12-11 10:00,Paris,France,5.3,81,Overcast ,13,NE,1029,2.4,0.1
2024-12-11 11:00,Paris,France,5.6,77,Overcast ,14,NE,1029,2.7,0.3
2024-12-11 12:00,Paris,France,6,73,Overcast ,14.8,NE,1029,3.1,0.4
2024-12-11 13:00,Paris,France,6.2,71,Overcast ,13.7,NE,1029,3.4,0.5
2024-12-11 14:00,Paris,France,6.5,68,Overcast ,13.7,NE,1029,3.8,2
2024-12-11 15:00,Paris,France,6.7,67,Cloudy ,12.2,NE,1028,4.3,2
2024-12-11 16:00,Paris,France,6.6,68,Cloudy ,11.5,NE,1028,4.3,2
2024-12-11 17:00,Paris,France,5.8,74,Cloudy ,12.2,NE,1029,3.2,0
2024-12-11 18:00,Paris,France,5.2,79,Cloudy ,12.6,NNE,1029,2.4,0
2024-12-11 19:00,Paris,France,4.7,81,Cloudy ,12.2,NNE,1029,1.9,0
2024-12-11 20:00,Paris,France,4.4,82,Cloudy ,11.5,NNE,1030,1.7,0
2024-12-11 21:00,Paris,France,4.3,81,Cloudy ,10.4,NNE,1030,1.7,0
2024-12-11 22:00,Paris,France,4.1,80,Cloudy ,10.4,NNE,1030,1.5,0
2024-12-11 23:00,Paris,France,3.7,80,Partly Cloudy ,10.4,NNE,1030,1,0
2024-12-12 00:00,Paris,France,3.2,81,Clear ,10.8,NNE,1030,0.3,0
2024-12-12 01:00,Paris,France,2.8,82,Clear ,8.3,NNE,1029,0.5,0
2024-12-12 02:00,Paris,France,2.7,83,Clear ,7.9,NNE,1029,0.4,0
2024-12-12 03:00,Paris,France,2.4,83,Clear ,8.3,NNE,1029,0,0
2024-12-12 04:00,Paris,France,2.1,84,Partly Cloudy ,8.3,NNE,1029,-0.4,0
2024-12-12 05:00,Paris,France,1.8,84,Cloudy ,7.9,NE,1029,-0.6,0
2024-12-12 06:00,Paris,France,1.8,84,Partly Cloudy ,8.3,NE,1029,-0.8,0
2024-12-12 07:00,Paris,France,1.6,84,Clear ,8.6,NE,1029,-1,0
2024-12-12 08:00,Paris,France,1.6,83,Clear ,8.3,NE,1028,-1,0
2024-12-12 09:00,Paris,France,1.6,82,Sunny,7.6,NE,1028,-0.7,2
2024-12-12 10:00,Paris,France,2.3,77,Sunny,8.6,ENE,1029,-0.2,2
2024-12-12 11:00,Paris,France,3.4,70,Sunny,10.1,ENE,1029,0.7,2
2024-12-12 12:00,Paris,France,4.3,65,Sunny,10.1,ENE,1028,1.8,2
2024-12-12 13:00,Paris,France,5,61,Partly Cloudy ,10.4,ENE,1028,2.6,3
2024-12-12 14:00,Paris,France,5.5,59,Overcast ,11.2,ENE,1027,3,2
2024-12-12 15:00,Paris,France,5.5,60,Overcast ,11.2,NE,1026,3.1,2
2024-12-12 16:00,Paris,France,5.3,62,Overcast ,10.4,NE,1026,3,2
